,Education,Key
7,ARUNODAYA PUBLIC SCHOOL,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMjIxNzY0NDAxMTgxNTgwXCJ9In0%3D
8,BHARAT NATIONAL PUBLIC SCHOOL,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTI5MzkxNDQ3MTAxMjI1XCJ9In0%3D
9,PANCHSHEEL PUBLIC SCHOOL,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTc0OTQ1NTY3ODYyNDE3MlwifSJ9
10,BHAI PARMAMAND VIDYA MANDIR,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiNzMzNjQ3MTEzNDc2Mzg5XCJ9In0%3D
11,ST. JOSEPHS ACADEMY,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTUyMDAyNTI4MjI3OTU3XCJ9In0%3D
12,NATIONAL PUBLIC SCHOOL,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTcwMTg1MjUwMDA1OTE2N1wifSJ9
13,SAROJ MONTESSORI,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMjMwMjQwMTM3MDEyODc1XCJ9In0%3D
14,RANI SHARDA VIDYA MANDIR,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiNDg2MjQzNTI0ODc3MzkwXCJ9In0%3D
15,DAV PUBLIC SCHOOL,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMjEyOTg2Mzg4NzI2NTUyXCJ9In0%3D
16,DAYANAND MODEL SECONDARY SCHOOL,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiODIzODk0NDk3NjYzNTQ0XCJ9In0%3D
